sample,group,metric,endpoint,obs,null_mean,null_std,p_emp,Z_robust,n_perm,n_spots,n_edges,trace_L,tissue_area,tumor_frac
HCC1R,R,E_B,per_edge,0.7242580481672574,0.02659260768275868,1.9495698872439044e-16,0.09090909090909091,1.3351777361189372,10,3006,25551,51102.0,1952889.0,0.290778402730058
HCC2R,R,E_B,per_edge,2.011051701237838,0.030926103181344318,1.3144580257118897e-16,0.09090909090909091,1.3351777361189372,10,2766,22889,45778.0,7070947.999999999,0.27709775303526285
HCC3R,R,E_B,per_edge,0.39780275897623374,0.029258867672191952,9.533090750159294e-17,0.09090909090909091,1.3351777361189372,10,2170,17192,34384.0,1531981.9999999998,0.3639955245256927
HCC4R,R,E_B,per_edge,1.743367806664069,0.04125434277023399,7.614482313061178e-05,0.09090909090909091,1.3351777361189372,10,3002,24347,48694.0,2189158.5,0.3369104981638687
HCC5NR,NR,E_B,per_edge,0.0061694382187614215,0.004094670107492999,0.0045692837626748126,0.2727272727272727,0.6045853465832371,10,1320,10142,20284.0,1215773.0,0.3902165004171653
HCC6NR,NR,E_B,per_edge,0.09297211898083414,0.03714814740595517,8.175860506840004e-16,0.09090909090909091,1.3351777361189372,10,2575,20757,41514.0,8665060.5,0.3818030668974612
HCC7NR,NR,E_B,per_edge,0.00900172857460557,0.0017442975013686724,0.003240975272404206,0.18181818181818182,0.9084578685373852,10,2453,18692,37384.0,9151844.5,0.44557220926256585
HCC1R,R,E_CAF,per_edge,0.7305019135866699,0.025500176628066362,1.7101241535490975e-16,0.09090909090909091,1.3351777361189372,10,3006,25551,51102.0,1952889.0,0.290778402730058
HCC2R,R,E_CAF,per_edge,0.2049234518388871,0.02683224151228763,1.4646655648318945e-16,0.09090909090909091,1.3351777361189372,10,2766,22889,45778.0,7070947.999999999,0.27709775303526285
HCC3R,R,E_CAF,per_edge,0.7668881384348166,0.029496698154169027,2.1072428023433418e-16,0.09090909090909091,1.3351777361189372,10,2170,17192,34384.0,1531981.9999999998,0.3639955245256927
HCC4R,R,E_CAF,per_edge,1.343511116702299,0.02753043835120087,0.0044706703116994045,0.09090909090909091,1.3351777361189372,10,3002,24347,48694.0,2189158.5,0.3369104981638687
HCC5NR,NR,E_CAF,per_edge,0.001520326595835195,0.0002603481692302934,0.0002535470203419679,0.09090909090909091,1.3351777361189372,10,1320,10142,20284.0,1215773.0,0.3902165004171653
HCC6NR,NR,E_CAF,per_edge,0.779344654395369,0.018067841409847036,1.2087425714604275e-16,0.09090909090909091,1.3351777361189372,10,2575,20757,41514.0,8665060.5,0.3818030668974612
HCC7NR,NR,E_CAF,per_edge,0.03823895706731063,0.0030016486114542553,0.004039296336131961,0.09090909090909091,1.3351777361189372,10,2453,18692,37384.0,9151844.5,0.44557220926256585
