sample,group,endpoint,k_metrics,p_fisher,Z_stouffer,frac_sig_p_lt_0_05,median_p,median_Z
HCC5NR,NR,per_traceL,5,0.06396647144570256,2.054488944427246,0.0,0.1487851214878512,1.04165805370627
HCC6NR,NR,per_traceL,5,2.8206154190080213e-08,-1.3022182734939858,0.6,9.999000099990002e-05,3.7190417463402357
HCC7NR,NR,per_traceL,5,0.15109206084244575,1.4831571638652246,0.0,0.2174782521747825,0.7807381727786763
HCC1R,R,per_traceL,5,1.9984014443252818e-15,8.316030155976296,1.0,9.999000099990002e-05,3.7190417463402357
HCC2R,R,per_traceL,5,1.9984014443252818e-15,8.316030155976296,1.0,9.999000099990002e-05,3.7190417463402357
HCC3R,R,per_traceL,5,1.9984014443252818e-15,8.316030155976296,1.0,9.999000099990002e-05,3.7190417463402357
HCC4R,R,per_traceL,5,1.9984014443252818e-15,8.316030155976296,1.0,9.999000099990002e-05,3.7190417463402357
