feature,LOOCV_AUC,LOOCV_ACC,LOOCV_BalACC
mal_b_boundary_frac,0.0,0.5714285714285714,0.5
SICI,0.0,0.42857142857142855,0.375
cyto_in_mal_hi,0.0,0.42857142857142855,0.375
nbr_cyto_around_mal_hi,0.0,0.42857142857142855,0.375
