sample,group,C_exh_cyto,C_exh_tam,C_exh_caf,C_exh_b,C_exh_malig,C_cyto_tam,C_cyto_caf,C_b_cyto,C_cyto_malig,C_b_tam,C_b_caf,C_b_malig,C_tam_caf,C_tam_malig,C_caf_endo,C_malig_endo,C_malig_caf,torus_TAMlag_vs_EXH_rho_obs,torus_TAMlag_vs_EXH_p_torus,torus_TAMlag_vs_EXH_n_eff_perm,torus_TAMlag_vs_EXH_tries,torus_CYTOlag_vs_EXH_rho_obs,torus_CYTOlag_vs_EXH_p_torus,torus_CYTOlag_vs_EXH_n_eff_perm,torus_CYTOlag_vs_EXH_tries,SICI
HCC1R,R,0.0190491976646869,-0.002870809855644756,-0.01465953136852649,0.004303844203578908,-0.031427853043679316,0.003095918543910291,0.0024036909398957597,0.01771141147942021,0.0011331276350428814,0.08184733657091714,0.06343932963304653,-0.03473388355759421,0.032761823436437465,0.021511527166096233,0.03708276046730941,-0.04208842815254716,-0.0337576194229958,-0.12486089046606688,0.06433166547533953,1398,20000,-0.030197278053977577,0.3187991422444603,1398,20000,0.0030029897211113106
HCC2R,R,0.03826150948504646,-0.00849539971305504,0.0038474944432117493,0.010747369555274723,0.0029532008632787367,-0.017908825556437254,-0.0013247627514264265,-0.032210465816434594,0.015444858332203368,0.11889763542547638,0.06279599391559762,-0.058402218959741375,0.06149293639475888,-0.07709973052223407,-0.01958093415324167,0.022005853312459068,-0.05742344742929277,-0.11530200484202618,0.3351063829787234,187,20000,-0.04410967236092335,0.5,187,20000,-0.051372403760680904
HCC3R,R,0.02212570130456105,0.029212706635871343,-0.012453098062304343,0.01745548842791419,-0.032974920160619176,0.014949638208237498,-0.0018830183158418405,0.007831447993635577,-0.03772601376413192,0.09418899219559783,0.052189498449947115,0.05621290265090366,0.03934945604716911,0.02163848343309366,0.04543140837284893,-0.017079453897136467,-0.04078178205744155,-0.1452521717422389,0.5466666666666666,74,20000,0.05621915171266869,0.4,74,20000,-0.010824632759244921
HCC4R,R,0.06193850872856094,0.024218399882786082,0.005182149435992882,0.08422528046171976,-0.05162877184924029,0.06759514208715407,0.011912197916766586,0.09541827010267905,-0.05780100096595034,0.15766626021766172,0.1392150516497473,-0.07529788020117137,0.09360144952150279,-0.06090422485100813,0.07249619367684865,0.017077589009989243,-0.035658146943236955,0.05906142376288128,0.4024390243902439,81,20000,0.060353503673776884,0.3902439024390244,81,20000,0.12169863188800303
HCC5NR,NR,-0.02571256000184125,0.03512962226384266,0.008003259973986375,0.02621768066182699,-0.05314209848723746,0.0441508808099565,0.08303986353043016,-0.010909908162904235,-0.025962704443814443,0.014162214642845544,-0.03639248382904454,-0.05972513610066175,0.06580545733790816,-0.01571830880558685,-0.014675776305471535,0.005171573656515251,-0.06503794333310699,0.12218457111988348,0.2765957446808511,46,20000,0.03142672910630225,0.19148936170212766,46,20000,-0.10166041149785246
HCC6NR,NR,0.032672345193999607,-0.010161092409777682,-0.0013783352046899526,-0.012341523946817623,-0.0010004418529310274,0.031591049502544065,0.005948852904717598,0.00222601988217749,0.007649952218899106,0.2027645456286849,0.21963634286348252,-0.031121830086468846,0.09905431633725392,0.0876534642818732,0.10625773374719229,-0.038438217465002464,-0.1046648236334331,0.01697441454198987,0.6268656716417911,66,20000,0.054719696426648506,0.31343283582089554,66,20000,-0.069766458557256
HCC7NR,NR,0.010254035278098044,0.029231013539752132,0.02437506883509938,-0.03864132820944224,-0.01605974808765965,0.020775302294351403,0.07886553785864363,0.03241294113742638,-0.028466405040636036,0.05946841696024707,0.035162626774379396,-0.05495276011187422,0.07765824126902333,-0.006661232827527136,0.048049388390861876,0.0019213357355225026,-0.0706821616430548,0.06351441617644761,0.28,24,20000,0.07672136933141407,0.48,24,20000,-0.028015185227530368
