sample,group,n_spots_full,n_spots_malignant_gt0,C_exh_cyto_malignant_restricted,C_exh_tam_malignant_restricted,C_malig_caf_malignant_restricted,C_b_cyto_malignant_restricted,SICI_malignant_restricted,C_exh_cyto_full,C_exh_tam_full,C_malig_caf_full,C_b_cyto_full,SICI_full,delta_C_exh_cyto_restricted_minus_full,direction_preserved_C_exh_cyto,delta_C_exh_tam_restricted_minus_full,direction_preserved_C_exh_tam,delta_C_malig_caf_restricted_minus_full,direction_preserved_C_malig_caf,delta_C_b_cyto_restricted_minus_full,direction_preserved_C_b_cyto,delta_SICI_restricted_minus_full,direction_preserved_SICI
HCC1R,R,3006,2727,0.012699890662544056,0.003038744329898067,-0.026054987558311336,0.024815584150510966,0.011460487254743686,0.0190491976646869,-0.002870809855644756,-0.0337576194229958,0.01771141147942021,0.0030029897211113106,-0.006349307002142843,True,0.005909554185542823,False,0.007702631864684464,True,0.007104172671090755,True,0.008457497533632376,True
HCC2R,R,2766,2651,0.039069883077297675,-0.0017078154024190186,-0.07535283271433865,-0.029301113731254984,-0.06558406336829598,0.03826150948504646,-0.00849539971305504,-0.05742344742929277,-0.032210465816434594,-0.051372403760680904,0.0008083735922512145,True,0.0067875843106360205,True,-0.017929385285045882,True,0.0029093520851796104,True,-0.01421165960761507,True
HCC3R,R,2170,2170,0.02212570130456105,0.029212706635871343,-0.04078178205744155,0.007831447993635577,-0.010824632759244921,0.02212570130456105,0.029212706635871343,-0.04078178205744155,0.007831447993635577,-0.010824632759244921,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True
HCC4R,R,3002,3002,0.06193850872856094,0.024218399882786082,-0.035658146943236955,0.09541827010267905,0.12169863188800303,0.06193850872856094,0.024218399882786082,-0.035658146943236955,0.09541827010267905,0.12169863188800303,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True
HCC5NR,NR,1320,1307,-0.027586186101048172,0.03258757595869307,-0.0552654267146427,-0.010510550058950482,-0.09336216287464134,-0.02571256000184125,0.03512962226384266,-0.06503794333310699,-0.010909908162904235,-0.10166041149785246,-0.0018736260992069202,True,-0.0025420463051495923,True,0.009772516618464289,True,0.00039935810395375256,True,0.008298248623211116,True
HCC6NR,NR,2575,2574,0.03248154252844487,-0.00985834552373406,-0.10519995393616391,0.0038401891522572692,-0.06887822225546177,0.032672345193999607,-0.010161092409777682,-0.1046648236334331,0.00222601988217749,-0.069766458557256,-0.00019080266555473319,True,0.0003027468860436217,True,-0.0005351303027308074,True,0.0016141692700797792,True,0.0008882363017942291,True
HCC7NR,NR,2453,2453,0.010254035278098044,0.029231013539752132,-0.0706821616430548,0.03241294113742638,-0.028015185227530368,0.010254035278098044,0.029231013539752132,-0.0706821616430548,0.03241294113742638,-0.028015185227530368,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True
