metric,diff_mean_Z_R_minus_NR,cohens_d_Z,p_exact,n_perm_exact,median_Z_R,median_Z_NR
E_TAM,2098457306152912.0,1.1453538486455808,0.1111111111111111,35,1758317257166301.0,0.6691428454791288
E_B,2293204820905512.5,0.9676591824398171,0.19444444444444445,35,1351202915220463.5,-0.09845312291812615
E_CYTO,926188802929457.2,1.052102977107204,0.19444444444444445,35,713461235770464.9,-0.37084318244301356
E_CAF,645347035840965.6,0.5910653262084123,0.4444444444444444,35,1310346290352891.5,1.0923799471904985
E_ENDO,546455275002200.9,0.4607001279528277,0.75,35,283224119198463.56,0.9934235494862567
