diff_R_minus_NR,program_key,program_label,iter
-0.07411320234918464,exhaustion,exhaustion,115
-0.07081911504870443,exhaustion,exhaustion,116
-0.07081911504870443,exhaustion,exhaustion,117
-0.05949451115216918,exhaustion,exhaustion,118
-0.08347666802509693,exhaustion,exhaustion,119
-0.06665177659311573,exhaustion,exhaustion,120
-0.05949451115216918,exhaustion,exhaustion,121
-0.07411320234918464,exhaustion,exhaustion,122
-0.07427079022724516,exhaustion,exhaustion,123
-0.08195437275580733,exhaustion,exhaustion,124
-0.07411320234918464,exhaustion,exhaustion,125
-0.08195437275580733,exhaustion,exhaustion,126
-0.08619179697183439,exhaustion,exhaustion,127
-0.08195437275580733,exhaustion,exhaustion,128
-0.06828951372341927,exhaustion,exhaustion,129
-0.08347666802509693,exhaustion,exhaustion,130
-0.07255385660961779,exhaustion,exhaustion,131
-0.08619179697183439,exhaustion,exhaustion,132
-0.07255385660961779,exhaustion,exhaustion,133
-0.07081911504870443,exhaustion,exhaustion,134
-0.07427079022724516,exhaustion,exhaustion,135
-0.06665177659311573,exhaustion,exhaustion,136
-0.07448048308417625,exhaustion,exhaustion,137
-0.07411320234918464,exhaustion,exhaustion,138
-0.06828951372341927,exhaustion,exhaustion,139
-0.0709042817382298,exhaustion,exhaustion,140
-0.08619179697183439,exhaustion,exhaustion,141
-0.05949451115216918,exhaustion,exhaustion,142
-0.07448048308417625,exhaustion,exhaustion,143
-0.07427079022724516,exhaustion,exhaustion,144
-0.07506888689477921,exhaustion,exhaustion,145
-0.07411320234918464,exhaustion,exhaustion,146
-0.0709042817382298,exhaustion,exhaustion,147
-0.06665177659311573,exhaustion,exhaustion,148
-0.07411320234918464,exhaustion,exhaustion,149
-0.07792865659161972,exhaustion,exhaustion,150
-0.07792865659161972,exhaustion,exhaustion,151
-0.0709042817382298,exhaustion,exhaustion,152
-0.07081911504870443,exhaustion,exhaustion,153
-0.07506888689477921,exhaustion,exhaustion,154
-0.07255385660961779,exhaustion,exhaustion,155
-0.06828951372341927,exhaustion,exhaustion,156
-0.0709042817382298,exhaustion,exhaustion,157
-0.07411320234918464,exhaustion,exhaustion,158
-0.08195437275580733,exhaustion,exhaustion,159
-0.08195437275580733,exhaustion,exhaustion,160
-0.06828951372341927,exhaustion,exhaustion,161
-0.06828951372341927,exhaustion,exhaustion,162
-0.07506888689477921,exhaustion,exhaustion,163
-0.06181979198036369,exhaustion,exhaustion,164
-0.08347666802509693,exhaustion,exhaustion,165
-0.06181979198036369,exhaustion,exhaustion,166
-0.07081911504870443,exhaustion,exhaustion,167
-0.08347666802509693,exhaustion,exhaustion,168
-0.0709042817382298,exhaustion,exhaustion,169
-0.08347666802509693,exhaustion,exhaustion,170
-0.06665177659311573,exhaustion,exhaustion,171
-0.06181979198036369,exhaustion,exhaustion,172
-0.05949451115216918,exhaustion,exhaustion,173
-0.07411320234918464,exhaustion,exhaustion,174
-0.07448048308417625,exhaustion,exhaustion,175
-0.07427079022724516,exhaustion,exhaustion,176
-0.07427079022724516,exhaustion,exhaustion,177
-0.07427079022724516,exhaustion,exhaustion,178
-0.08195437275580733,exhaustion,exhaustion,179
-0.06181979198036369,exhaustion,exhaustion,180
-0.06665177659311573,exhaustion,exhaustion,181
-0.08195437275580733,exhaustion,exhaustion,182
-0.06181979198036369,exhaustion,exhaustion,183
-0.07411320234918464,exhaustion,exhaustion,184
-0.07506888689477921,exhaustion,exhaustion,185
-0.07411320234918464,exhaustion,exhaustion,186
-0.08347666802509693,exhaustion,exhaustion,187
-0.07081911504870443,exhaustion,exhaustion,188
-0.08347666802509693,exhaustion,exhaustion,189
-0.06181979198036369,exhaustion,exhaustion,190
-0.07411320234918464,exhaustion,exhaustion,191
-0.07255385660961779,exhaustion,exhaustion,192
-0.07448048308417625,exhaustion,exhaustion,193
-0.07255385660961779,exhaustion,exhaustion,194
-0.05949451115216918,exhaustion,exhaustion,195
-0.08347666802509693,exhaustion,exhaustion,196
-0.07411320234918464,exhaustion,exhaustion,197
-0.05949451115216918,exhaustion,exhaustion,198
-0.07506888689477921,exhaustion,exhaustion,199
-0.05949451115216918,exhaustion,exhaustion,200
-0.0709042817382298,exhaustion,exhaustion,201
-0.06665177659311573,exhaustion,exhaustion,202
-0.08195437275580733,exhaustion,exhaustion,203
-0.08195437275580733,exhaustion,exhaustion,204
-0.07411320234918464,exhaustion,exhaustion,205
-0.08195437275580733,exhaustion,exhaustion,206
-0.08347666802509693,exhaustion,exhaustion,207
-0.06828951372341927,exhaustion,exhaustion,208
-0.07792865659161972,exhaustion,exhaustion,209
-0.07411320234918464,exhaustion,exhaustion,210
-0.06665177659311573,exhaustion,exhaustion,211
-0.0709042817382298,exhaustion,exhaustion,212
-0.06828951372341927,exhaustion,exhaustion,213
-0.07427079022724516,exhaustion,exhaustion,214
-0.05949451115216918,exhaustion,exhaustion,215
-0.07411320234918464,exhaustion,exhaustion,216
-0.06828951372341927,exhaustion,exhaustion,217
-0.07411320234918464,exhaustion,exhaustion,218
-0.06828951372341927,exhaustion,exhaustion,219
-0.07255385660961779,exhaustion,exhaustion,220
-0.06181979198036369,exhaustion,exhaustion,221
-0.06828951372341927,exhaustion,exhaustion,222
-0.06828951372341927,exhaustion,exhaustion,223
-0.07506888689477921,exhaustion,exhaustion,224
-0.07448048308417625,exhaustion,exhaustion,225
-0.08195437275580733,exhaustion,exhaustion,226
-0.07427079022724516,exhaustion,exhaustion,227
-0.07255385660961779,exhaustion,exhaustion,228
-0.08195437275580733,exhaustion,exhaustion,229
-0.08347666802509693,exhaustion,exhaustion,230
-0.07255385660961779,exhaustion,exhaustion,231
-0.07255385660961779,exhaustion,exhaustion,232
-0.08619179697183439,exhaustion,exhaustion,233
-0.08347666802509693,exhaustion,exhaustion,234
-0.08195437275580733,exhaustion,exhaustion,235
-0.06828951372341927,exhaustion,exhaustion,236
-0.07792865659161972,exhaustion,exhaustion,237
-0.07255385660961779,exhaustion,exhaustion,238
-0.08347666802509693,exhaustion,exhaustion,239
-0.07427079022724516,exhaustion,exhaustion,240
