label,n_spots,E_CAF,C_EXH_CYT,C_MAL_CAF,C_B_CYT
all,17292,64026.76280259972,0.0666526382269973,-0.3794159795264836,0.2204312324731646
high_tumor_frac,6917,4585.974279345542,-0.0017300237621891718,0.07313789085413246,0.1353969921206066
low_tumor_frac,6917,18786.10875407103,0.058031283452322925,0.18280001564223838,0.1326629228031475
