sample,group,C_exh_cyto,C_exh_tam,C_malig_caf,C_b_cyto,torus_TAMlag_vs_EXH_rho_obs,torus_TAMlag_vs_EXH_p_torus,torus_TAMlag_vs_EXH_n_eff_perm,torus_TAMlag_vs_EXH_tries,torus_CYTOlag_vs_EXH_rho_obs,torus_CYTOlag_vs_EXH_p_torus,torus_CYTOlag_vs_EXH_n_eff_perm,torus_CYTOlag_vs_EXH_tries,SICI
HCC1R,R,0.0190491976646869,-0.002870809855644756,-0.0337576194229958,0.01771141147942021,-0.12486089046606688,0.06433166547533953,1398,20000,-0.030197278053977577,0.3187991422444603,1398,20000,0.0030029897211113106
HCC2R,R,0.03826150948504646,-0.00849539971305504,-0.05742344742929277,-0.032210465816434594,-0.11530200484202618,0.3351063829787234,187,20000,-0.04410967236092335,0.5,187,20000,-0.051372403760680904
HCC3R,R,0.02212570130456105,0.029212706635871343,-0.04078178205744155,0.007831447993635577,-0.1452521717422389,0.5466666666666666,74,20000,0.05621915171266869,0.4,74,20000,-0.010824632759244921
HCC4R,R,0.06193850872856094,0.024218399882786082,-0.035658146943236955,0.09541827010267905,0.05906142376288128,0.4024390243902439,81,20000,0.060353503673776884,0.3902439024390244,81,20000,0.12169863188800303
HCC5NR,NR,-0.02571256000184125,0.03512962226384266,-0.06503794333310699,-0.010909908162904235,0.12218457111988348,0.2765957446808511,46,20000,0.03142672910630225,0.19148936170212766,46,20000,-0.10166041149785246
HCC6NR,NR,0.032672345193999607,-0.010161092409777682,-0.1046648236334331,0.00222601988217749,0.01697441454198987,0.6268656716417911,66,20000,0.054719696426648506,0.31343283582089554,66,20000,-0.069766458557256
HCC7NR,NR,0.010254035278098044,0.029231013539752132,-0.0706821616430548,0.03241294113742638,0.06351441617644761,0.28,24,20000,0.07672136933141407,0.48,24,20000,-0.028015185227530368
