sample,group,pair,obs_coupling,p_spectral_null,n_eff_perm,torus_CYTOlag_vs_EXH_p_torus,p_torus
HCC1R,R,EXH_vs_TAM,0.027496417805639828,0.009900990099009901,100,0.3187991422444603,0.0643316654753395
HCC2R,R,EXH_vs_TAM,0.03635610021128071,0.009900990099009901,100,0.5,0.3351063829787234
HCC3R,R,EXH_vs_TAM,0.00572651082590419,0.3564356435643564,100,0.4,0.5466666666666666
HCC4R,R,EXH_vs_TAM,0.020313036650553278,0.009900990099009901,100,0.3902439024390244,0.4024390243902439
HCC5NR,NR,EXH_vs_TAM,0.027190636425597797,0.009900990099009901,100,0.1914893617021276,0.2765957446808511
HCC6NR,NR,EXH_vs_TAM,0.011381092328731754,0.1485148514851485,100,0.3134328358208955,0.6268656716417911
HCC7NR,NR,EXH_vs_TAM,0.03999863215466981,0.009900990099009901,100,0.48,0.28
