sample,group,pair,obs_coupling,p_spectral_null,n_eff_perm,p_torus,torus_TAMlag_vs_EXH_p_torus
HCC1R,R,EXH_vs_CYTO,0.01662855815466975,0.019801980198019802,100,0.3187991422444603,0.0643316654753395
HCC2R,R,EXH_vs_CYTO,-0.012051837774847834,0.0297029702970297,100,0.5,0.3351063829787234
HCC3R,R,EXH_vs_CYTO,-0.02307378387106489,0.009900990099009901,100,0.4,0.5466666666666666
HCC4R,R,EXH_vs_CYTO,0.08395605706137564,0.009900990099009901,100,0.3902439024390244,0.4024390243902439
HCC5NR,NR,EXH_vs_CYTO,-0.04807311748947721,0.009900990099009901,100,0.1914893617021276,0.2765957446808511
HCC6NR,NR,EXH_vs_CYTO,-0.00996625351020079,0.15841584158415842,100,0.3134328358208955,0.6268656716417911
HCC7NR,NR,EXH_vs_CYTO,-0.03197436095628664,0.009900990099009901,100,0.48,0.28
