sample,group,C_exh_cyto,C_exh_tam,C_malig_caf,C_b_cyto,torus_TAMlag_vs_EXH_rho_obs,torus_TAMlag_vs_EXH_p_torus,torus_TAMlag_vs_EXH_n_eff_perm,torus_TAMlag_vs_EXH_tries,torus_CYTOlag_vs_EXH_rho_obs,torus_CYTOlag_vs_EXH_p_torus,torus_CYTOlag_vs_EXH_n_eff_perm,torus_CYTOlag_vs_EXH_tries,SICI,torus_cont_TAMlag_vs_EXH_rho,torus_cont_TAMlag_vs_EXH_p,torus_cont_CYTOlag_vs_EXH_rho,torus_cont_CYTOlag_vs_EXH_p,cyto_in_mal_hi,nbr_cyto_around_mal_hi,mal_b_boundary_frac,SICI_NRdir,cyto_in_mal_hi_NRdir,nbr_cyto_around_mal_hi_NRdir,mal_b_boundary_frac_NRdir
HCC1R,R,0.0190491976646869,-0.002870809855644756,-0.0337576194229958,0.01771141147942021,-0.12486089046606688,0.06433166547533953,1398,20000,-0.030197278053977577,0.3187991422444603,1398,20000,0.032419833237729116,-0.12486089046606688,0.009495252373813094,-0.030197278053977577,0.36431784107946025,0.028961008606454952,0.02529239260825148,0.08271931844347226,-0.032419833237729116,-0.028961008606454952,-0.02529239260825148,-0.08271931844347226
HCC2R,R,0.03826150948504646,-0.00849539971305504,-0.05742344742929277,-0.032210465816434594,-0.11530200484202618,0.3351063829787234,187,20000,-0.04410967236092335,0.5,187,20000,-0.013048527872188284,-0.11530200484202618,0.01649175412293853,-0.04410967236092335,0.1854072963518241,0.0267528610909654,0.026993513606681997,0.22757390417940876,0.013048527872188284,-0.0267528610909654,-0.026993513606681997,-0.22757390417940876
HCC3R,R,0.02212570130456105,0.029212706635871343,-0.04078178205744155,0.007831447993635577,-0.1452521717422389,0.5466666666666666,74,20000,0.05621915171266869,0.4,74,20000,0.02648752874651607,-0.1452521717422389,0.01199400299850075,0.05621915171266869,0.18340829585207397,0.0015418847735679398,0.00784614760350244,0.19909954977488745,-0.02648752874651607,-0.0015418847735679398,-0.00784614760350244,-0.19909954977488745
HCC4R,R,0.06193850872856094,0.024218399882786082,-0.035658146943236955,0.09541827010267905,0.05906142376288128,0.4024390243902439,81,20000,0.060353503673776884,0.3902439024390244,81,20000,0.06913790831735506,0.05906142376288128,0.0069965017491254375,0.060353503673776884,0.00849575212393803,-0.01585284963852027,-0.009953528981546991,0.06788434079009996,-0.06913790831735506,0.01585284963852027,0.009953528981546991,-0.06788434079009996
HCC5NR,NR,-0.02571256000184125,0.03512962226384266,-0.06503794333310699,-0.010909908162904235,0.12218457111988348,0.2765957446808511,46,20000,0.03142672910630225,0.19148936170212766,46,20000,0.079840595172044,0.12218457111988348,0.017491254372813594,0.03142672910630225,0.4547726136931534,-0.0012442554360615349,0.0021241712295368073,0.45119887165021155,-0.079840595172044,0.0012442554360615349,-0.0021241712295368073,-0.45119887165021155
HCC6NR,NR,0.032672345193999607,-0.010161092409777682,-0.1046648236334331,0.00222601988217749,0.01697441454198987,0.6268656716417911,66,20000,0.054719696426648506,0.31343283582089554,66,20000,0.07421849832161098,0.01697441454198987,0.43778110944527737,0.054719696426648506,0.01199400299850075,-0.06117546143381526,-0.061291808890204164,0.8449283428412411,-0.07421849832161098,0.06117546143381526,0.061291808890204164,-0.8449283428412411
HCC7NR,NR,0.010254035278098044,0.029231013539752132,-0.0706821616430548,0.03241294113742638,0.06351441617644761,0.28,24,20000,0.07672136933141407,0.48,24,20000,0.09284106750238313,0.06351441617644761,0.0069965017491254375,0.07672136933141407,0.0034982508745627187,-0.036812806053043136,-0.03641399940569301,0.3736163760424564,-0.09284106750238313,0.036812806053043136,0.03641399940569301,-0.3736163760424564
