analysis,x_col,y_col,n,spearman_r,spearman_p,pearson_r,pearson_p
CAF energy,E_CAF,E_CAF,7,1.0,0.0,0.9999999999999999,0.0
CAF energy (deconv) vs Malignant–CAF coupling (sig),E_CAF,C_malig_caf,7,0.5,0.2531699951003227,0.45824852388302784,0.3010928467308565
